epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3133,1.40464,2.91086,1.62541,0.6332,0.53731,0.5947,0.28043,1.49855,3.44482,1.83756,0.000661157,0.000661157,0.000661157
2,31.0544,1.49354,2.16275,1.6247,0.31025,0.55224,0.32409,0.10675,1.99713,6.71646,2.29241,0.00130153,0.00130153,0.00130153
3,45.6072,1.53533,1.82296,1.63931,0.34578,0.51277,0.32968,0.15281,1.84398,3.67461,2.22032,0.00191551,0.00191551,0.00191551
4,58.9062,1.53419,1.68734,1.62589,0.59466,0.31343,0.31173,0.11576,2.78019,2.59418,2.59621,0.0018812,0.0018812,0.0018812
5,71.851,1.42083,1.45547,1.5242,0.66484,0.70149,0.70709,0.32842,1.75162,1.97976,2.02748,0.0018416,0.0018416,0.0018416
6,85.1238,1.38533,1.35932,1.51673,0.61445,0.76119,0.63944,0.30609,1.68118,1.89452,1.82472,0.001802,0.001802,0.001802
7,98.5807,1.28548,1.25692,1.43429,0.8732,0.92537,0.9221,0.50395,1.3727,1.28872,1.57408,0.0017624,0.0017624,0.0017624
8,111.952,1.27579,1.18176,1.40958,0.8567,0.86567,0.90648,0.50594,1.36222,1.22003,1.57546,0.0017228,0.0017228,0.0017228
9,125.229,1.1979,1.15562,1.37682,0.7935,0.50746,0.6694,0.32186,1.76246,1.49205,1.92112,0.0016832,0.0016832,0.0016832
10,139.818,1.19873,1.08156,1.377,0.88628,0.80597,0.86397,0.44245,1.51955,1.07682,1.681,0.0016436,0.0016436,0.0016436
11,154.202,1.15469,1.07731,1.34722,0.91224,0.94776,0.94882,0.55548,1.3011,0.82404,1.48391,0.001604,0.001604,0.001604
12,167.421,1.10721,1.04141,1.33497,0.85381,0.85075,0.89676,0.46714,1.48858,0.92148,1.6824,0.0015644,0.0015644,0.0015644
13,180.407,1.07839,0.95974,1.28825,0.88057,0.93541,0.9297,0.55581,1.29924,1.01455,1.47671,0.0015248,0.0015248,0.0015248
14,193.268,1.08019,1.00184,1.31881,0.886,0.90299,0.95429,0.55289,1.27075,0.87621,1.42843,0.0014852,0.0014852,0.0014852
15,206.401,1.02724,0.92412,1.27201,0.90656,0.95522,0.95522,0.60579,1.18715,0.9472,1.37766,0.0014456,0.0014456,0.0014456
16,219.498,0.9891,0.87392,1.2392,0.95297,0.94776,0.98291,0.57336,1.23001,0.60592,1.4251,0.001406,0.001406,0.001406
17,232.488,0.98998,0.88789,1.24902,0.93631,0.97015,0.97343,0.62775,1.09053,0.58921,1.32022,0.0013664,0.0013664,0.0013664
18,245.438,0.9646,0.84013,1.2357,0.92828,0.9403,0.96584,0.59022,1.26092,0.66514,1.42619,0.0013268,0.0013268,0.0013268
19,258.423,0.91644,0.82171,1.19062,0.89364,0.94052,0.97292,0.58484,1.21697,0.77886,1.41301,0.0012872,0.0012872,0.0012872
20,271.482,0.9258,0.79667,1.20084,0.94575,0.95522,0.98462,0.6374,1.08033,0.59244,1.34064,0.0012476,0.0012476,0.0012476
21,284.46,0.90893,0.8305,1.1963,0.87696,0.88806,0.93331,0.62028,1.07057,0.79201,1.31799,0.001208,0.001208,0.001208
22,297.442,0.86768,0.75336,1.1687,0.94731,0.94776,0.97328,0.65657,1.05084,0.60943,1.29724,0.0011684,0.0011684,0.0011684
23,310.552,0.87158,0.75137,1.16939,0.95761,0.96269,0.9808,0.65637,1.1056,0.56731,1.3159,0.0011288,0.0011288,0.0011288
24,323.614,0.85966,0.73096,1.16425,0.91938,0.93621,0.95025,0.63445,1.09011,0.59703,1.31112,0.0010892,0.0010892,0.0010892
25,336.609,0.86178,0.74663,1.15855,0.89066,0.97262,0.95215,0.63302,1.09585,0.689,1.32077,0.0010496,0.0010496,0.0010496
26,349.567,0.82213,0.70625,1.14288,0.97639,0.92581,0.98502,0.6429,1.05938,0.56541,1.30908,0.00101,0.00101,0.00101
27,362.551,0.81623,0.7092,1.14781,0.9509,0.95522,0.97664,0.6657,1.01688,0.51192,1.25987,0.0009704,0.0009704,0.0009704
28,375.663,0.81271,0.69058,1.14541,0.9728,0.92537,0.97922,0.662,1.09428,0.52724,1.31776,0.0009308,0.0009308,0.0009308
29,388.813,0.78825,0.66964,1.13504,0.90554,0.9403,0.96409,0.66621,1.02112,0.64457,1.2593,0.0008912,0.0008912,0.0008912
30,401.859,0.80608,0.67984,1.13615,0.9599,0.97015,0.98345,0.66894,0.98973,0.49218,1.23454,0.0008516,0.0008516,0.0008516
31,414.97,0.76658,0.64129,1.12076,0.95907,0.96269,0.98649,0.69377,0.93508,0.50666,1.19386,0.000812,0.000812,0.000812
32,428.182,0.75639,0.64923,1.10961,0.94647,0.95522,0.97221,0.64187,1.05751,0.54037,1.29118,0.0007724,0.0007724,0.0007724
33,441.301,0.74699,0.61049,1.10661,0.92252,0.97741,0.9604,0.66936,1.01231,0.50324,1.27431,0.0007328,0.0007328,0.0007328
34,454.566,0.72836,0.6327,1.10692,0.96265,0.96166,0.97815,0.69255,0.96683,0.49273,1.22414,0.0006932,0.0006932,0.0006932
35,467.705,0.71248,0.60485,1.09317,0.94612,0.97761,0.97491,0.70291,0.94131,0.47061,1.20466,0.0006536,0.0006536,0.0006536
36,480.906,0.72255,0.61366,1.10357,0.9694,0.94572,0.97717,0.7011,0.91869,0.477,1.19408,0.000614,0.000614,0.000614
37,493.971,0.68517,0.54787,1.07138,0.93455,0.95902,0.9788,0.69865,0.92289,0.5021,1.19148,0.0005744,0.0005744,0.0005744
