epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,507.037,0.70072,0.57988,1.07825,0.96933,0.94337,0.98463,0.69111,0.95704,0.48755,1.21672,0.0005348,0.0005348,0.0005348
39,520.09,0.69057,0.56257,1.07683,0.96984,0.95985,0.9819,0.6967,0.93618,0.47522,1.21571,0.0004952,0.0004952,0.0004952
40,533.545,0.64551,0.53769,1.04582,0.93513,0.96814,0.96799,0.68219,0.95665,0.51042,1.22065,0.0004556,0.0004556,0.0004556
41,569.77,0.59473,0.41048,1.06066,0.92959,0.96269,0.96571,0.66171,1.01061,0.54472,1.27347,0.000416,0.000416,0.000416
42,585.093,0.57463,0.36973,1.03578,0.93564,0.97645,0.97983,0.70554,0.91531,0.47574,1.19901,0.0003764,0.0003764,0.0003764
43,599.94,0.52047,0.41379,1.00296,0.96958,0.95149,0.97949,0.71263,0.89623,0.50264,1.19283,0.0003368,0.0003368,0.0003368
44,614.546,0.52542,0.33315,1.00253,0.95826,0.97015,0.97441,0.70555,0.86828,0.47105,1.17649,0.0002972,0.0002972,0.0002972
45,629.272,0.51719,0.31776,0.99544,0.97703,0.95237,0.97723,0.70407,0.8651,0.44192,1.17561,0.0002576,0.0002576,0.0002576
46,643.861,0.49859,0.30763,0.98061,0.96496,0.97015,0.9674,0.7055,0.87542,0.45756,1.17642,0.000218,0.000218,0.000218
47,657.039,0.48112,0.30504,0.97127,0.94655,0.97015,0.96396,0.70209,0.87035,0.49173,1.19248,0.0001784,0.0001784,0.0001784
48,669.97,0.4625,0.28632,0.97085,0.9701,0.96848,0.97002,0.70778,0.87203,0.45389,1.17457,0.0001388,0.0001388,0.0001388
49,682.899,0.43507,0.27495,0.95669,0.94885,0.96907,0.9656,0.71128,0.84563,0.46179,1.16296,9.92e-05,9.92e-05,9.92e-05
50,695.877,0.43992,0.28025,0.95473,0.96267,0.96213,0.9706,0.7158,0.85991,0.46174,1.18164,5.96e-05,5.96e-05,5.96e-05
