epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,732.48,0.57186,0.5159,0.0083,0.85507,0.86184,0.89866,0.69304,0.70398,0.55028,0.01359,0.0005941,0.0005941,0.0005941
43,749.681,0.58167,0.51511,0.00841,0.87538,0.85007,0.91835,0.71896,0.69824,0.52497,0.01372,0.0005842,0.0005842,0.0005842
44,766.559,0.56333,0.52274,0.00816,0.88585,0.87077,0.92227,0.70902,0.71261,0.5295,0.01402,0.0005743,0.0005743,0.0005743
45,783.334,0.56507,0.50983,0.00834,0.87258,0.89961,0.93454,0.73605,0.69858,0.4602,0.01381,0.0005644,0.0005644,0.0005644
46,801.023,0.56395,0.48026,0.00827,0.90165,0.89619,0.93285,0.72962,0.71843,0.44927,0.01419,0.0005545,0.0005545,0.0005545
47,818.101,0.55415,0.4832,0.00818,0.89701,0.89087,0.92814,0.7179,0.72253,0.48581,0.01425,0.0005446,0.0005446,0.0005446
48,835.112,0.5427,0.4779,0.00789,0.91911,0.86142,0.91872,0.72511,0.69595,0.55544,0.0135,0.0005347,0.0005347,0.0005347
49,852.033,0.5405,0.48071,0.0078,0.84805,0.86625,0.91413,0.72396,0.6862,0.50392,0.01342,0.0005248,0.0005248,0.0005248
50,869.034,0.5346,0.48083,0.00784,0.92334,0.87773,0.93009,0.73445,0.68103,0.46917,0.01324,0.0005149,0.0005149,0.0005149
51,886.267,0.53383,0.46945,0.00794,0.84449,0.89919,0.92822,0.73805,0.67311,0.5075,0.01295,0.000505,0.000505,0.000505
52,903.189,0.53202,0.46844,0.00764,0.89882,0.87919,0.93057,0.73177,0.66308,0.47475,0.01294,0.0004951,0.0004951,0.0004951
53,920.289,0.52647,0.45615,0.00766,0.90361,0.87177,0.93009,0.73412,0.68436,0.47386,0.01332,0.0004852,0.0004852,0.0004852
54,937.19,0.53166,0.44557,0.00771,0.86644,0.89722,0.91587,0.72878,0.66076,0.55047,0.01279,0.0004753,0.0004753,0.0004753
55,954.19,0.51799,0.44474,0.00754,0.91152,0.91541,0.9448,0.7384,0.68745,0.46534,0.01334,0.0004654,0.0004654,0.0004654
56,971.148,0.50457,0.45245,0.0073,0.92206,0.85002,0.92076,0.73354,0.67382,0.53354,0.01299,0.0004555,0.0004555,0.0004555
57,988.199,0.48167,0.41617,0.00717,0.88297,0.89965,0.93287,0.72974,0.67438,0.51982,0.01297,0.0004456,0.0004456,0.0004456
58,1005.03,0.50637,0.4302,0.00731,0.89536,0.88594,0.92051,0.71394,0.68307,0.50133,0.01318,0.0004357,0.0004357,0.0004357
59,1021.88,0.49935,0.41456,0.00728,0.89231,0.90686,0.93378,0.74388,0.66156,0.491,0.01274,0.0004258,0.0004258,0.0004258
60,1038.96,0.48578,0.41056,0.00711,0.93879,0.83618,0.92739,0.73393,0.66086,0.50271,0.01278,0.0004159,0.0004159,0.0004159
61,1055.89,0.47526,0.38523,0.00683,0.89144,0.89276,0.92191,0.7318,0.6682,0.494,0.01307,0.000406,0.000406,0.000406
62,1072.72,0.48188,0.3991,0.007,0.90392,0.82979,0.9186,0.73607,0.66769,0.53934,0.01282,0.0003961,0.0003961,0.0003961
63,1089.49,0.48335,0.40119,0.00702,0.91755,0.9191,0.93659,0.74567,0.66893,0.45041,0.01289,0.0003862,0.0003862,0.0003862
64,1106.62,0.48228,0.40244,0.00708,0.8583,0.88988,0.92247,0.73723,0.6632,0.53738,0.01284,0.0003763,0.0003763,0.0003763
65,1124.01,0.47282,0.38783,0.00693,0.93691,0.8974,0.94017,0.74654,0.66582,0.45983,0.01281,0.0003664,0.0003664,0.0003664
66,1140.93,0.47511,0.38453,0.00702,0.88342,0.88436,0.94788,0.74307,0.69936,0.4389,0.01358,0.0003565,0.0003565,0.0003565
67,1157.91,0.45452,0.37132,0.00659,0.89383,0.89565,0.94183,0.75426,0.67165,0.4586,0.01294,0.0003466,0.0003466,0.0003466
68,1174.81,0.4554,0.37627,0.0065,0.876,0.89993,0.93513,0.74543,0.65503,0.47782,0.01246,0.0003367,0.0003367,0.0003367
69,1192.02,0.45873,0.38136,0.00662,0.9167,0.84002,0.93634,0.75116,0.63402,0.48537,0.01213,0.0003268,0.0003268,0.0003268
70,1209.05,0.44964,0.37232,0.00658,0.86178,0.89559,0.92369,0.74296,0.64632,0.50194,0.01248,0.0003169,0.0003169,0.0003169
71,1225.88,0.45167,0.35819,0.00645,0.90107,0.8848,0.934,0.7504,0.63667,0.47361,0.01212,0.000307,0.000307,0.000307
72,1242.89,0.45407,0.36602,0.00663,0.87792,0.90485,0.93158,0.75099,0.65592,0.48289,0.01269,0.0002971,0.0002971,0.0002971
73,1259.9,0.44528,0.37109,0.00639,0.91295,0.86888,0.93314,0.74889,0.64984,0.48956,0.0125,0.0002872,0.0002872,0.0002872
74,1276.91,0.43658,0.36277,0.00619,0.94145,0.8222,0.92945,0.74258,0.64054,0.49083,0.01224,0.0002773,0.0002773,0.0002773
75,1293.92,0.43366,0.35164,0.0064,0.87573,0.92841,0.94543,0.76029,0.64686,0.43433,0.01235,0.0002674,0.0002674,0.0002674
76,1310.83,0.43132,0.34994,0.00632,0.91055,0.89608,0.94196,0.75011,0.64357,0.46518,0.01216,0.0002575,0.0002575,0.0002575
77,1327.48,0.42501,0.34458,0.0061,0.9366,0.8497,0.93642,0.73765,0.64786,0.47635,0.01227,0.0002476,0.0002476,0.0002476
78,1344.52,0.41914,0.34204,0.00591,0.91677,0.85821,0.93684,0.74834,0.64557,0.48907,0.01229,0.0002377,0.0002377,0.0002377
79,1361.23,0.43382,0.35085,0.0062,0.92732,0.8673,0.94103,0.76028,0.63967,0.45981,0.01226,0.0002278,0.0002278,0.0002278
80,1378.7,0.41813,0.33099,0.00609,0.91382,0.89022,0.94189,0.76245,0.6357,0.45741,0.01211,0.0002179,0.0002179,0.0002179
81,1395.59,0.41705,0.3379,0.00599,0.85242,0.92064,0.93427,0.74715,0.64437,0.47125,0.01227,0.000208,0.000208,0.000208
82,1412.92,0.41306,0.33128,0.00597,0.9076,0.88985,0.94429,0.762,0.62893,0.46434,0.01191,0.0001981,0.0001981,0.0001981
83,1429.59,0.40937,0.33288,0.00591,0.88123,0.91241,0.94764,0.76261,0.62878,0.45078,0.01194,0.0001882,0.0001882,0.0001882
84,1446.98,0.40387,0.33287,0.00591,0.92472,0.87366,0.93757,0.75483,0.63389,0.4697,0.01203,0.0001783,0.0001783,0.0001783
85,1463.98,0.40195,0.32486,0.00569,0.91566,0.86447,0.93857,0.76015,0.63686,0.47037,0.01209,0.0001684,0.0001684,0.0001684
86,1480.86,0.39001,0.31337,0.0056,0.9229,0.85614,0.93996,0.75809,0.62863,0.4843,0.01193,0.0001585,0.0001585,0.0001585
87,1498.08,0.39433,0.31835,0.00567,0.91885,0.87361,0.93935,0.76029,0.62975,0.47045,0.01198,0.0001486,0.0001486,0.0001486
88,1515.23,0.40004,0.32302,0.00561,0.92248,0.88652,0.94063,0.76094,0.62695,0.46096,0.01188,0.0001387,0.0001387,0.0001387
89,1532.18,0.39552,0.32459,0.00562,0.9183,0.8985,0.94306,0.76428,0.62767,0.44545,0.0119,0.0001288,0.0001288,0.0001288
90,1549.15,0.39602,0.31785,0.00563,0.91468,0.87881,0.94017,0.76385,0.6268,0.46026,0.0119,0.0001189,0.0001189,0.0001189
91,1567.36,0.31075,0.15696,0.00641,0.94464,0.82249,0.92081,0.73747,0.64649,0.51272,0.01223,0.000109,0.000109,0.000109
92,1583.98,0.29579,0.13924,0.00604,0.91713,0.84127,0.92309,0.74051,0.63577,0.50079,0.01196,9.91e-05,9.91e-05,9.91e-05
93,1600.7,0.28953,0.13315,0.00576,0.91174,0.84455,0.92328,0.74307,0.63374,0.50897,0.01197,8.92e-05,8.92e-05,8.92e-05
94,1617.27,0.28168,0.13121,0.00562,0.89015,0.86352,0.92176,0.7424,0.63682,0.51634,0.01206,7.93e-05,7.93e-05,7.93e-05
95,1634.19,0.27543,0.12678,0.00545,0.93885,0.82522,0.92684,0.74272,0.63136,0.50544,0.01189,6.94e-05,6.94e-05,6.94e-05
96,1650.87,0.26523,0.12693,0.00525,0.85901,0.89285,0.92497,0.74576,0.63584,0.5139,0.012,5.95e-05,5.95e-05,5.95e-05
97,1667.78,0.26634,0.1282,0.00527,0.91713,0.85279,0.93361,0.7549,0.63116,0.4947,0.01188,4.96e-05,4.96e-05,4.96e-05
98,1684.38,0.26329,0.11829,0.00526,0.91467,0.86163,0.93125,0.75315,0.62928,0.49971,0.01188,3.97e-05,3.97e-05,3.97e-05
99,1701.06,0.26205,0.12415,0.00518,0.92237,0.85965,0.93294,0.75341,0.631,0.49767,0.01192,2.98e-05,2.98e-05,2.98e-05
100,1717.86,0.26194,0.12383,0.00518,0.9067,0.87339,0.93259,0.75151,0.63137,0.48761,0.01194,1.99e-05,1.99e-05,1.99e-05
